,residuales
0,-40.08472210977122
1,-38.037173109092464
2,-22.13552874073614
3,-21.98847123757129
4,-21.584938618826243
5,-21.540107626342362
6,-20.876158264603646
7,-17.740664861627607
8,-16.138119337642593
9,-15.701503098227676
10,-15.639767605866837
11,-15.387702195200418
12,-15.14957799501505
13,-14.480765194244341
14,-14.462409532278627
15,-13.99752414452351
16,-12.903937795680818
17,-12.47076613962794
18,-12.414394566917284
19,-12.312079919424463
20,-12.116626110102203
21,-12.019483140316282
22,-11.596383555584072
23,-11.56451862748716
24,-11.487662628712336
25,-11.08436721221986
26,-10.491606807534083
27,-9.970838315561874
28,-9.810797121132367
29,-9.794499103150628
30,-9.786190341504675
31,-9.712672711949697
32,-9.665321584676022
33,-9.202641369487925
34,-8.935256131962369
35,-8.595710969327065
36,-8.547422811235187
37,-8.455061056585748
38,-7.696318272356677
39,-7.153571968877891
40,-6.795737048555537
41,-6.708728139428267
42,-6.404811372212318
43,-5.938013109680398
44,-5.88368615745248
45,-5.79110112067881
46,-5.4623385493778045
47,-5.207351796438715
48,-4.89356323523047
49,-4.8879206370045765
50,-4.476108159525364
51,-4.393661995689243
52,-4.352894218304154
53,-4.339211516525236
54,-3.456385092316463
55,-3.3139652344841863
56,-3.002867471697293
57,-2.860230358409183
58,-2.3818036621616443
59,-2.0338081889181723
60,-1.3858019951920895
61,-0.8871316386239094
62,-0.5864566037693457
63,-0.283106450427109
64,-0.22792582602831146
65,0.7150273649305952
66,0.797464846059583
67,1.0608466648338322
68,1.0630400619122113
69,1.138906893075955
70,1.4268194054966017
71,1.5893409887041905
72,2.602081785186492
73,2.6133708370414155
74,3.4026205318485303
75,3.469412836992589
76,3.5784957220844937
77,3.6205851154781534
78,4.036645055513411
79,4.041495023430713
80,4.2920541372446905
81,4.995452408508498
82,5.304648583783887
83,5.31112805466887
84,5.671982556242902
85,7.153154788504928
86,7.539456824033593
87,7.570901323360477
88,8.026743988525467
89,8.172716259655672
90,8.176864974592334
91,10.106205873224813
92,10.80538060204077
93,11.268788543231242
94,11.422141646177174
95,12.812690636911498
96,13.711951638426221
97,14.31764777457306
98,14.529888135218002
99,14.814310626042953
100,15.160158063249497
101,15.22610746596991
102,19.02876055570932
103,19.47987595397177
104,22.52870430046943
105,24.039198449100198
106,28.6021249750374
107,30.62959496525898
108,37.86130341842133
109,39.336401794294034
110,47.2995479084465
